job_title,company_name,company_location,work_method,post_date,work_time,description,fecha_scraping,id_job
JUNIOR Data Scientist,Capgemini Engineering,"Madrid, Comunidad de Madrid, España",Híbrido,hace 1 semana,Jornada completa · Intermedio,"Acerca del empleo
About This Opportunity

Responsible for developing scientific methods, processes, and systems to extract knowledge or insights to drive the future of applied analytics. Provide thought leadership, perform Advanced Statistical Analytics, and build insights into data to provide to the business useful insights, identify trends, and measure performance which address business problems. Collaborate with business and process owners to understand business issues, and with engineers to implement and deploy scalable solutions, where applicable

What You Will Do
Perform Data science leadership
Synthesize problems into data question(s)
Decide approach for data science
Design & perform data science experiment
Develop Data Science Infrastructure &Tools
Convert data into insights.
Act in external relations
You will bring

Theoretical Knowledge:
Common and sophisticated Clustering algorithms including probability density and distribution based.
Convolutional Neural networks
Recurrent Neural Networks
Graph Neural Networks
Bayesian based probabilistic graphical models
Deep Autoencoders
Latest machine reasoning techniques
Reinforcement learning
Application of ML/AI:
Clean clustering of high dimensional data with noise
Application of autoencoders to high-dimensional data
Application of GNN to high dimensional complex data structures
Application of CNN to high-dimensional temporal data
Application of RNN to high- time series data for forecasting
Application of Bayesian dimensional networks for causal reasoning
Auto learning of network structure from data for probabilistic graphical models
Frameworks, Languages, & General skills:
Strong programming skills in Python, ability to write object oriented and scalable code
JupyterHub and notebooks
Strong skills in the use of current innovative machine learning frameworks such as Tensorflow, Keras, Scikit-learn, etc.
Ability to handle large amounts high dimensional data (knowledge of distributed data pipelines is a plus)
Good data Visualization skills
Ability to work independently and be a self-starter with high energy, enthusiasm and persistence
Why join Ericsson?

At Ericsson, you´ll have an outstanding opportunity! The chance to use your skills and imagination to push the boundaries of what´s possible. To build never seen before solutions to some of the world’s toughest problems. You´ll be challenged, but you won’t be alone! You´ll be joining a team of diverse innovators, all driven to go beyond the status quo to craft what comes next.

What happens once you apply?

Click Here to find all you need to know about what our typical hiring process looks like.

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.

Encouraging a diverse and inclusive organization is core to our values at Ericsson, that's why we nurture it in everything we do. We truly believe that by collaborating with people with different experiences we drive innovation, which is essential for our future growth. We encourage people from all backgrounds to apply and realize their full potential as part of our Ericsson team.

Ericsson is proud to be an Equal Opportunity and Affirmative Action employer, learn more.",23/02/2023,JUNIOR Data ScientistCapgemini Engineering
JUNIOR Data Scientist,Capgemini Engineering,"Madrid, Comunidad de Madrid, España",Híbrido,hace 1 semana,Jornada completa · Intermedio,"Acerca del empleo
Our offer

Hybrid Intelligence, a Capgemini Engineering team, is looking for a DATA SCIENTIST to join the team in Spain. You will provide analytics expertise to a highly talented team, while participating in the rapid growth and expansion of our client base.

Requirements

To succeed in this role, you should have:

A Masters or PhD in operations research, computer science, mathematics or engineering with more than two years of experience in DS projects.
Professional experience applying data science, analytics, machine learning and computational techniques.
A genuine enthusiasm for using data science to solve complex problems, and an understanding of the algorithms, data processing methods and visualization techniques required.
It will valued real experience in Cloud Environment (AWS, Azure, ..)
Excellent communication and presentation skills, and the ability to explain complex concepts.
Professional level ability in Spanish and English.

About Us

As a member of the Hybrid Intelligence team of Capgemini Engineering you will work on a variety of innovative and rewarding projects that make a difference. Our work is a fusion of applied mathematics, scientific computing, AI, and software engineering. We deliver ground-breaking, multi-disciplinary solutions for our R&D-driven clients tackling humanity’s generational challenges, from discovering new drug treatments to harnessing green energy.

We are dedicated to creating a diverse environment and are proud to be an equal opportunity employer. We appreciate individuals for who they are and value the diversity they bring to the workplace.

Capgemini Engineering is an integral part of the Capgemini Group, a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. It is a multicultural company of over 270,000 team members in almost 50 countries.

What we offer?

Permanent working contract
Remote working.
Flexible schedule + intensive workday on Fridays and in summer (almost three months)
Social benefits package (private medical insurance, life and accident insurance paid by the company, Gympass, Life -employment and family assistance company-, etc).
Flexible remuneration (transport ticket, restaurant ticket, nursery, training, extend health insurance to your family...)
Ongoing technical, skills and language training (free English classes for all employees)
Annual performance evaluations. Professional development plan, based on your experience and future potential, adapted to you, with both horizontal and vertical growth.",23/02/2023,JUNIOR Data ScientistCapgemini Engineering
Data Scientist,Damavis Studio,España,Híbrido,hace 1 semana,Jornada completa · Algo de responsabilidad,"Acerca del empleo
We have seen tremendous success and growth of Arbolus in the last few years and yet, we still keep going for more!
Our global Tech team is looking for a new member to focus on analyzing data and transferring them into successful business decisions!

About the role

You will be a creator of data visualization dashboards and looking over extracting data insights to identify strategic opportunities.

Key responsibilities you will be in charge of

Support the company by creating dashboards and enabling data-driven decision-making.
Collect, clean, and merge data to validate hypotheses & designs
Proactively investigate and analyze business trends to find actionable insights

About you
We are looking for an ambitious individual with great business and technical skills, the ability to analyze different sources of information, create visualizations and explain their findings to the stakeholders.

Requirements to succeed in this role
Bachelor's degree in computer science, maths engineering, or a quantitative field
2+ years experience in a data analytical role
Knowledge of SQL and experience working with databases
Experience with business intelligence platforms (e.g. Tableau, Google Data Studio, or similar)
The ability to effectively communicate your analyses to business and technical audiences
Excellent verbal and written English communication skills
Self-driven, agile, and able to work independently and on multiple engagements simultaneously
Basic understanding of SQL pipelines (DBT) and other software development tools, such as git

Nice to have
Proficient with Excel or Google Spreadsheets
Experience applying a wide range of statistical techniques to data sets, and understanding their real-world advantages/drawbacks

What you will love about us

At Arbolus we want everyone to feel welcomed and motivated. We make sure our employees are rewarded and equally recognized for their hard work.

Compensation and benefits
25 days of paid time off per year + all local bank holidays. Arbolus puts heavy emphasis on quality of life and wants to ensure everyone has a fair amount of time to recharge and relax.
Relocation package to help you with your move to Barcelona
Private health insurance. We offer a multitude of plans to accommodate various individuals and their diverse needs.
Flexible remuneration for meals, transport, and nursery
Yearly training budget to help you educate yourself in your area
Referral program to reciprocate
Language courses to extend our knowledge (English, Spanish, and Catalan)
Top-notch equipment to make our work efficient and smooth (MacBook Pro or Lenovo Carbon X1)
Flexible work-from-home days to stay balanced
International exposure and strong office culture
Monday office breakfast to start our week
Free coffee, tea, and snacks to boost our energy during the day

Arbolus is an Equal Opportunity Employer and does not discriminate on the basis of an individual’s race, color, religion, national origin, sex, disability status, sexual orientation, gender identity, age, protected veteran status, or any other characteristic protected by law.

*Please be advised that at this moment Arbolus is not able to provide support in the visa sponsorship process.",23/02/2023,Data ScientistDamavis Studio
Data Scientist,PepsiCo,"Barcelona, Cataluña, España",Híbrido,hace 1 semana,Jornada completa · Algo de responsabilidad,"Acerca del empleo
¿Qué estamos buscando?
Buscamos una persona dinámica y entusiasta para unirse a EVO Banco y crecer con nosotros en un entorno innovador, retador y motivante.

Principales Funciones

• Participar y desarrollar el enfoque de soluciones innovadoras, modelos, desde el inicio hasta el impacto resultante en el negocio.
• Entender y preparar los datos para llevar a cabo los modelos envueltos en nuestras soluciones.
• Diseñar y construir procesos de Machine Learning para el banco.
• Evaluación de modelos desarrollados, medición y visualización gráfica de rendimiento que permita validaciones de las estrategias.
• Usar tecnología Big Data para la generación de modelos en tiempo real.
• Evaluar los marcos de referencia del software, las bibliotecas y las herramientas (incluidos el prototipado) con el objetivo de mejorar la precisión de nuestras soluciones para nuestros clientes.
• Participar en el diseño de la arquitectura integrada de nuestras soluciones, identificando las tendencias en todos los dominios relevantes (por ejemplo, NLP, Análisis de texto, Machine / Deep Learning, Big Data) que ayuden a mejorar nuestras soluciones.

Requisitos imprescindibles

• Ingeniería informática, Ingeniería Electrónica, Matemáticas o Física
• Dos años de experiencia en Ingeniería de Software y experiencia en producción de sistemas de machine learning a escala, minería de datos, investigación, ranking, recomendaciones, análisis avanzado, y/o procesamiento de lenguaje natural.
• Experiencia en programación con Python, Azure Databricks, Machine Learning y/o Github.

Conocimientos deseables
• Se valorará manejo de la plataforma de Machine Learning DataRobot
• Se valorará manejo de herramientas de BI (como PowerBI) o conocimiento en herramientas de visualización de datos",23/02/2023,Data ScientistPepsiCo
Data Scientist,PepsiCo,"Vitoria-Gasteiz, País Vasco / Euskadi, España",Híbrido,hace 5 días,Jornada completa · Intermedio,"Acerca del empleo
Opis

We could make smartphones, rockets or sports cars… but we make what we do best for the past 100 years – paper and packaging products that people depend on every day. Join us to discover Infinite Possibilities that we offer at International Paper.

EMEA Data Scientist

Why this is job for you

International Paper has embarked on a path of disruptive technology to make the company more agile, efficient and effective using the latest techniques of industry 4.0.

We will rely more on insightful data to power our systems and solutions. We’re seeking an experienced data scientist to deliver that insight to us on a daily basis. Our ideal team member will have a mathematical and statistical expertise, but also a natural curiosity and creative mindset, thinking out-of-the-box. As you mine, interpret, and structure data, we will rely on you to ask questions, connect the dots, and uncover opportunities that lie hidden within—all with the ultimate goal of realizing the data’s full potential. You will support, in local facilities, a team of multidisciplinary specialists, but will “slice and dice” data using your own methods, creating new visions for the future.

You will be responsible for

Collaborating with manufacturing/product design/management & functional groups to develop an understanding of needs
Researching and devise innovative statistical models for data analysis
Communicating findings to stakeholders
Enabling smarter business processes - and implement analytics for meaningful insights
Structuring, developing and optimizing data lake and data engines
Keeping current with technical and industry developments
Leading specific pilot projects
Implementing analytical models into production by collaborating with internal and external stakeholders (software developers and machine learning engineers).
Communicating analytic solutions to stakeholders and implement improvements as needed to operational systems

You have

Bachelor’s degree in statistics, applied mathematics, or related discipline
5+ years’ experience in Data Science
Proficiency with data mining, mathematics, and statistical analysis
Advanced pattern recognition and predictive modeling experience
Experience with Excel, PowerPoint, Tableau, SQL, and programming languages (i.e., Java/Python, SAS)
Excellent level of written and spoken English
Comfort working in a dynamic, results oriented group with several ongoing concurrent projects
Openness to regular travel (30-50%)

The information necessary in the recruitment process is: name, surname, contact details, education, previous employment record and qualifications.

Any supplementary information you provide is processed on the basis of your consent.

For The Purpose Of Application To The Position Specified In The Job Posting We Ask You To Place The Following Statement In Your Application

“I, hereby, consent to the processing of my personal data contained in the application for the job by International Paper Polska Sp. z o.o for the purpose and to the extent necessary in the recruitment process.”

If You Want To Take Part Not Only In The Recruitment Process For The Job Position You Applied For But In Future Recruitment Processes As Well, We Ask You To Place The Following Statement In Your Application

„I, hereby, consent to the processing of my personal data contained in the application for the job by International Paper Polska Sp. z o.o for the purpose and to the extent necessary in the current recruitment process and in the future recruitment processes as well.”",23/02/2023,Data ScientistPepsiCo
Data Scientist,Ericsson,"Madrid, Comunidad de Madrid, España",Híbrido,hace 5 días,Jornada completa · Intermedio,"Acerca del empleo
Así somos.
The Cocktail es una consultora tecnológica multinacional cuya misión es acelerar el crecimiento sostenible de nuestros clientes. Movilizamos grandes organizaciones para mejorar la relación entre las marcas y personas mediante el Diseño, los Datos y la Tecnología. Entendemos lo que nuestros clientes necesitan y orquestamos capacidades para lograr esos objetivos a una velocidad de vértigo. Nuestra cultura se basa en la diversidad, creatividad y en la mezcla de especialistas (estrategia, diseño, tecnología, data, investigación…) Nuestras carreras se caracterizan por un crecimiento profesional exponencial, y por la participación en proyectos con impacto real en grandes clientes. Formar parte de The Cocktail implica rodearse de un equipo inspirador del que aprender y que te ayudará a crecer. Trabajamos bajo la máxima de que es mejor pedir perdón que permiso, por eso, esperamos de ti una visión disruptiva y challenger, inconformismo y pasión por la excelencia y los desafíos.

Si quieres moverte en un entorno retador, crear proyectos innovadores y hacer que las cosas pasen, The Cocktail es para ti.

Éste es el reto

Buscamos una persona enfocada a consultoría en el campo de Machine Learning, con ganas de incorporarse al equipo de Data Science & Engineering & Visualization, capaz de liderar soluciones que den respuesta a los problemas de negocio de grandes empresas. Que pueda también llevar las soluciones implementadas a entornos de producción y demostrar su impacto con un business case.
Nuestro equipo de de Data Science & Engineering & Visualization se encarga de entender las necesidades de nuestros clientes, pertenecientes a todo tipo de sectores (Banca, Real Estate, Retail, etc..) y ofrecerles la mejor solución basada en la ciencia e ingeniería de datos. Para ello, el departamento cuenta con especialistas en ambos campos.
Trabajamos en entorno cloud (GCP, AWS, Azure) y usamos las herramientas adecuadas para cada problema en concreto.

¿Qué esperamos?

+2 años de experiencia traduciendo necesidades de negocio a modelos predictivos, su dimensionamiento y productivización, así como la activación y monitorización de estas predicciones en relación a los OKRs.
Experiencia profesional con modelos matemáticos avanzados basados en técnicas de machine learning, especialmente en modelos predictivos de clasificación (i.e., bagging, boosting) y clusterización (i.e., K-means, Mean Shift).
Tener conocimientos de desarrollo de software, Object Oriented Programing, y manejo avanzado de Python: estructuras de datos y principales librerías (i.e., numpy, pandas, sklearn, Keras, Tensorflow, Pytorch).
Conocimientos de bases de datos relacionales y fuentes no relacionales/NoSQL.
Experiencia en metodología DevOps, contribución a repositorios git, monitorización del código mediante builds (docker) y testing, así como despliegues en entornos de UAT y productivos.
Experiencia en metodología MLOps, paquetización de modelos, módulos de entrenamiento y validación, módulos de inferencia, versionamiento de modelos y monitorización de data shift para el re-entrenamiento.
Nivel alto de inglés.
Pasión e interés por los nuevos descubrimientos de modelos predictivos, pensamiento analítico orientado a cliente, y mucho sentido del humor y ganas de convertirse en cocktelero.

Además, nos encantaría que:

Que estés acostumbrado a trabajar con algunos de los siguientes paradigmas: series temporales, NLP, análisis geoespacial, reconocimiento de imágenes, etc.
Que tengas conocimientos sobre técnicas de optimización numérica: gradient descent, quasi-Newton, computación evolutiva, programación lineal, etc.
Que hayas trabajado con soluciones cloud orientadas a Inteligencia Artificail: GCP (Vertex), AWS (Amazon SageMaker), Azure (MLFlow). Y la realización de prototipos/productos web en frameworks ágiles.
Experiencia con entornos Big Data y haber tratado volúmenes de datos que requieran entornos distribuidos (pyspark y Databricks).
Que poseas conocimientos en herramientas de visualización: Tableau, Power BI, Qlik Sense, Shiny, Spotfire, etc.

¿Cómo es la experiencia en The Cocktail?

Modelo de trabajo basado en la autorresponsabilidad y la autogestión con horario y teletrabajo flexibles.
Buscamos la excelencia/mejora en lo que hacemos, generando un ambiente colaborativo. Nuestra filosofía es 70-20-10 (70% se aprende de la experiencia, 20% de mentores/referentes y 10% de formación reglada).
Podrás disfrutar de 25 días de vacaciones al año repartidos entre verano y Navidad, sobre todo. También te regalamos Nochebuena y Nochevieja.
Paquete de ventajas sociales y posibilidad de retribución flexible.
No tenemos dress code. Ven como quieras a trabajar.
Ser parte de una compañía con alma: tenemos iniciativas de apoyo a la maternidad (una sala de lactancia en la oficina y programas para mamás y papás), la sostenibilidad (políticas zero waste), la igualdad de género y diversidad (iniciativas de visibilización e inclusión del colectivo LGTB+, colaboraciones para disminuir la desigualdad social...).
Descuentos y múltiples ventajas para tu ocio y día a día.

En The Cocktail pretendemos ser un referente en talento y calidad humana, y sólo lo conseguiremos siendo una compañía abierta y diversa, por eso tenemos un Código de Conducta que refleja nuestras expectativas de las personas que participan en la empresa. Ofrecemos un entorno acogedor para todos, independientemente de su identidad o expresión de género, orientación sexual, capacidad, origen, religión, estatus socioeconómico…

Próximos pasos:
Si has llegado hasta aquí es porque hemos conseguido llamar tu atención ;)
Apúntate a la oferta y el equipo de People echará un vistazo a tu CV. Si coincide con lo que buscamos, recibirás una llamada para conocernos mejor, que podamos contarte más sobre The Cocktail y sobre el rol.

Nuestros procesos de selección suelen tener alrededor de dos o tres entrevistas, y es posible que en algún momento queramos verte en acción y te propongamos un reto técnico. Al final del proceso charlaremos acerca de las condiciones salariales del puesto, una vez te conozcamos bien y sepamos cuánto puedes aportar.

Si necesitas un tip para el proceso: simplemente queremos que seas tú.

¿Te vienes?",23/02/2023,Data ScientistEricsson
DATA SCIENTIST,Capgemini Engineering,"Getafe, Comunidad de Madrid, España",Híbrido,hace 1 día,Jornada completa · Intermedio,"Acerca del empleo
Overview

About D+A at PepsiCo

PepsiCo is using the power of data to transform the way our world-famous portfolio of brands is sold every day. Our Data & Analytics organization influences every aspect of how we sell and move our products. In just a short period of time, they’ve built new capabilities that have defined the roadmap across all our brands. Members of our team solve complex problems facing our rapidly changing business and get to see their work come to life in the real world.

Data Science

Join our Data Science team where you will be part of a collaborative interdisciplinary team around data, where you will be responsible of building deployable statistical/machine learning models, starting from the discovery phase. You will work closely with process owners, product owners and final business users. This will provide you the correct visibility and understanding of criticality of your developments.

Your mission

Your role will be to be part of growing team based in Barcelona, to create and support global digital developments for PepsiCo. These developments will be focus on Consumer Analytics and Innovation but with the option in the future to collaborate into other fields such as revenue management, supply chain, manufacturing, logistics.

You will be part of a collaborative interdisciplinary team around data, where you will be responsible of building deployable statistical/machine learning models, starting from the discovery phase. You will work closely with process owners, product owners and final business users. This will provide you the correct visibility and understanding of criticality of your developments.

You will be an internal ambassador of the team’s culture around data and analytics. You will provide stewardship to colleagues in the areas that you are an specialist or you are specializing.

Are you ready to work as a Data Scientist for our Global business in Vitoria?

Responsibilities

Your day to day with us:

Ensure data access for discovery and proper data is prepared for model usage partnering with data engineers
Partner with ML engineers working on industrialization
Coordinate work activities with Business teams, other IT services
Guide the use of the Platform toolset and focus on 'the art of the possible' demonstrations to the business
Communicate with team members in the process of service design, training and knowledge transfer
Support large-scale experimentation and build data-driven models
Set Metrics to evaluate analytics solution given a use case
Refine requirements into modelling problems
Influence product teams through data-based recommendations
Research in methodologies
Generate reusable packages or libraries
Create documentation for insights and knowledge transfer.

Qualifications

What you will need to succeed:

Building solutions in the revenue management or in the supply chain space.
Working in a team to deliver production level solutions. Fluent in git (version control).
5+ years’ experience in ETL and/or data wrangling techniques. Fluent in SQL syntaxis.
5+ years’ experience in Statistical/ML techniques to solve supervised (regression, classification) and unsupervised problems.
In particular, work experience in time series forecasting using ML and/or supply chain simulation/optimization is a plus.
Developing business problem related statistical/ML modeling with industry tools with primary focus on Python development.
In particular, work experience deploying analytics into production using Azure or Databricks environments is a plus.
Business storytelling and communicating data insights in business consumable format.
Agile methodology for team work and analytics 'product' creation.

What makes us different?

Hybrid work model & collaborative office experience to enable innovation
Entrepreneurial environment in leading international company
Professional growth possibilities & learning opportunities
Variety of benefits to support your physical, emotional and financial wellbeing
Volunteering opportunities to help external communities
Diverse team from over 25 countries
Have a stake in D&I strategy and Bring your whole self to work

About PepsiCo

We believe that culture should be at the cornerstone of everything we do at PepsiCo. We operate with start-up mindset – agile, innovative and not afraid of failure. We want our team to come to work every day excited to explore new ways bring enjoyment, refreshment and fun to the world.

PepsiCo Positive (pep+) is the future of our organization – a strategic end-to-end transformation, with sustainability at the center of how we will create growth and value by operating within planetary boundaries and inspiring positive change for the planet and people. https://www.youtube.com/watch?v=PO5CdBmWjUY

So, if you’re ready to be a part of a playground for those who think big, we’d love to chat.

We encourage the diversity of applicants across gender, age, ethnicity, nationality, sexual orientation, social background, religion or belief and disability",23/02/2023,DATA SCIENTISTCapgemini Engineering
DATA SCIENTIST,Capgemini Engineering,"Getafe, Comunidad de Madrid, España",Presencial,hace 1 semana,Jornada completa,"Acerca del empleo
Overview

About D+A at PepsiCo

PepsiCo is using the power of data to transform the way our world-famous portfolio of brands is sold every day. Our Data & Analytics organization influences every aspect of how we sell and move our products. In just a short period of time, they’ve built new capabilities that have defined the roadmap across all our brands. Members of our team solve complex problems facing our rapidly changing business and get to see their work come to life in the real world.

Data Science

Join our Data Science team where you will be part of a collaborative interdisciplinary team around data, where you will be responsible of building deployable statistical/machine learning models, starting from the discovery phase. You will work closely with process owners, product owners and final business users. This will provide you the correct visibility and understanding of criticality of your developments.

Your mission

Your role will be to be part of growing team based in Barcelona, to create and support global digital developments for PepsiCo. These developments will be focus on Consumer Analytics and Innovation but with the option in the future to collaborate into other fields such as revenue management, supply chain, manufacturing, logistics.

You will be part of a collaborative interdisciplinary team around data, where you will be responsible of building deployable statistical/machine learning models, starting from the discovery phase. You will work closely with process owners, product owners and final business users. This will provide you the correct visibility and understanding of criticality of your developments.

You will be an internal ambassador of the team’s culture around data and analytics. You will provide stewardship to colleagues in the areas that you are an specialist or you are specializing.

Responsibilities

Your day to day with us:

Refine requirements into modelling problems.
Set KPIs and metrics to evaluate analytics solution given a particular use case.
Research state-of-the-art methodologies.
Create documentation for learnings and knowledge transfer.
Create reusable packages or libraries
Work with cloud environments (such as Databricks)
Build CI / CD pipelines
Support large-scale experimentation and build data-driven models.
Using visualizations tools (such as PowerBi) to demonstrate insights of the data&results.
Partner with data engineers to ensure data access for discovery and proper data is prepared for model consumption.
Partner with ML engineers working on industrialization.
Coordinate work activities with Business teams, other IT services and as required.
Drive the use of the Platform toolset and to also focus on 'the art of the possible' demonstrations to the business as needed.
Communicate with business stakeholders in the process of service design, training and knowledge transfer.
Influence product teams through data-based recommendations.

Qualifications

What you will need to succeed:

Fluent in git (version control, pre-commit tools), SQL, Python, PySpark syntaxis.
Experience writing tests (Pytest) with Python.
5+ years’ experience in ETL and/or data wrangling techniques.
5+ years’ experience in Statistical/ML techniques to solve supervised (regression, classification) and unsupervised problems.
Experience working with Time Series Data.
Experience in developing business problem using Databricks.
Building Docker images.
Experience with Bayesian methods.
Experience with distributed machine learning
Experience with cloud services
Comfortable with Python tooling (building CI / CD pipelines, configurations, …)
Business storytelling and communicating data insights in business consumable format. Fluent in one Visualization tool (preferable PowerBi).
Strong communications and organizational skills with the ability to deal with ambiguity while juggling multiple priorities
Experience with Agile methodology for team work and analytics ‘product’ creation. Fluent in Azure Boards and Wiki.
Experiences with Deep Learning are a plus.
Experience in Reinforcement Learning is a plus.
Experience in Simulation and Optimization problems in any space is a plus.
Experience with Causal inference is a plus.
Experience with NLP is a plus.
Experience with working with FAIR data is a plus.
Experience with Responsible AI is a plus.

What makes us different?

Hybrid work model & collaborative office experience to enable innovation
Entrepreneurial environment in leading international company
Professional growth possibilities & learning opportunities
Variety of benefits to support your physical, emotional and financial wellbeing
Volunteering opportunities to help external communities
Diverse team from over 25 countries
Have a stake in D&I strategy and Bring your whole self to work

About PepsiCo

We believe that culture should be at the cornerstone of everything we do at PepsiCo. We operate with start-up mindset – agile, innovative and not afraid of failure. We want our team to come to work every day excited to explore new ways bring enjoyment, refreshment and fun to the world.

PepsiCo Positive (pep+) is the future of our organization – a strategic end-to-end transformation, with sustainability at the center of how we will create growth and value by operating within planetary boundaries and inspiring positive change for the planet and people. https://www.youtube.com/watch?v=PO5CdBmWjUY

So, if you’re ready to be a part of a playground for those who think big, we’d love to chat.

We encourage the diversity of applicants across gender, age, ethnicity, nationality, sexual orientation, social background, religion or belief and disability",23/02/2023,DATA SCIENTISTCapgemini Engineering
Data Scientist,Arbolus,"Barcelona, Cataluña, España",Híbrido,hace 1 semana,Jornada completa · Intermedio,"Acerca del empleo
At Intrum, you will grow by making a difference. You will do it in a highly international environment and in a supportive and innovative culture.

As a market-leading credit management company, Intrum has wide-ranging expertise in debt collection services, and we do business in 24 countries in Europe.
We have more than 10,000 experienced employees in our group. As a result, we have a unique geographical size and scope.

With market leadership, however, comes great responsibility. We see ourselves as role models within our industry and have both the opportunity and responsibility to set new standards and change the way people perceive credit management. Through ethical and sustainable business practices we want to become the true benchmark of our industry.


Main Responsibilities:
Participate / lead optimization projects to improve Operational decisions for different countries.
Act as contact between these countries and the central Analytics team
Discuss and identify potential for data-driven improvements.
Contribute in Analytical development projects run from the central team.
Based on data discovery creates basic understanding of the business questions context
Creates models, mostly Supervised and Unsupervised, that are trained/tested/validated trough evaluation methods.


About you:
1-2 years of relevant experience (with continuously expanding responsibilities)
General understanding of bias and variance trade-off to avoid over/under fitting
Experience with Python to perform complex statistical analyses on both internal and external data;
General understanding of DBMS, statistics, linear algebra, probability and data structures
Familiar with database technologies like SQL or others
Several courses or minor education in machine learning is required.


Location for this position
Málaga, Spain (hybrid).
We accept applications from all countries in which we operate. However, we do not offer relocation support or work permit sponsorship.


Our commitment with Diversity & Inclusion
Intrum believes diversity should be visible, valued, and sustained throughout the organization. We embrace Empathy, Ethics, Dedication and Solutions as our core values.
We are committed to enabling an inclusive culture, ensuring diversity of our talent to proudly represent the communities we serve. All aspects of people engagement from the decision to hire or promote are based on the business needs and individual merits.

***No Sponsorship is provided for this position. You need to have the legal right to work in the country advertised***",23/02/2023,Data ScientistArbolus
Data Scientist,Arbolus,"Barcelona, Cataluña, España",Híbrido,hace 1 semana,Jornada completa · Intermedio,"Acerca del empleo
¡Ampliamos nuestro equipo de Data & AI!. Seleccionamos consultor/a ECM con experiencia en Opentext Content Server para incorporarse de manera estable a nuestros equipos de Madrid.

¿Qué ofrecemos?
Estupendo ambiente laboral, las personas que componen nuestros equipos lo hacen posible
Teletrabajo y horario flexible.
Formación a medida y posibilidad de participar en gremios y grupos transversales de difusión de conocimientos de todo tipo.
Plan de carrera personalizado, para que alcances las metas que te propongas.
Estabilidad laboral.
Beneficios sociales con nuestra plataforma de retribución flexible y diversas iniciativas de salud y bienestar con nuestro programa VASS Care.

Requisitos

Al menos un año de experiencia en desarrollo de proyectos como científico de datos con Python

Valorables conocimientos en Cloud (Azure, AWS o GCP)",23/02/2023,Data ScientistArbolus
